S. No.,Name of the Organization,Salary Per Annum (Rs. In Lakhs),Date of Test/ Interview,ECE,CSE,EEE,IT,MECH,PROD,CIVIL,CHEM,BIO- TECH,
1,AISHWARYA TELECOM,1.8,18.06.2009,2,NA,NA,NA,NA,NA,NA,NA,NA,
2,CORDYS,3.5,26.06.2009,1,NA,NA,NA,NA,NA,NA,NA,NA,
3,AWAYA,4,28.06.2009,1,NA,1,1,NA,NA,NA,NA,NA,
4,VINISOFT,1.44,03.07.2009,NA,NA,NA,NA,NA,NA,3,NA,NA,
5,HONEYWELL,3.25,09.07.2009,NA,2,3,NA,NA,NA,NA,NA,NA,
6,VALUE LABS,2,11.07.2009,NA,NA,NA,2,NA,NA,NA,NA,NA,
7,TATA ADVANCE SYSTEMS,3.2,22.07.2009,NA,NA,NA,NA,2,NA,NA,NA,NA,
8,POKARNA GRANITES,2,19.08.2009,NA,NA,1,NA,3,NA,NA,NA,NA,
9,CAPITAL IQ,5.8,21.08.2009,NA,2,NA,0,NA,NA,NA,NA,NA,
10,NALCO,1.8,30.08.2009,NA,NA,NA,NA,NA,NA,NA,2,NA,
11,BIRLA SOFT,2,23.09.2009,0,2,NA,2,NA,NA,NA,NA,NA,
12,ZETA INTERACTIVE,2.16,"26.09.2009
(Off Campus)",NA,0,NA,0,NA,NA,NA,NA,NA,
13,"NOKIA SIEMENS
NETWORKS - GET PROGRAM",3.15,"29.09.2009
(Off Campus)",1,0,0,0,NA,NA,NA,NA,NA,
14,ZETA INTERACTIVE,2.16,"05.10.2010
(Off campus)",NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,REVIVAL SOFT GROUP,1.8,26.10.2009,NA,1,NA,1,NA,NA,NA,NA,NA,
16,"LEAP LOYALITY
SOLUTIONS",2.46,30.10.2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,"DALMIA CEMENTS
(BHARAT) LTD.",2.8,02.11.2009,1,NA,NA,NA,NA,NA,NA,1,NA,
18,"PRITHVI INFORMATION
SOLUTIONS LTD.",2.5,12.11.2009,NA,5,NA,8,NA,NA,NA,NA,NA,
19,MAQ SOFTWARE,3.25,13.11.2009,NA,7,NA,4,NA,NA,NA,NA,NA,
20,CTS,3.1,"18 &
19.12.2009",39,41,18,20,21,8,8,7,19,
21,DELOITTE,4.25,23.12.2009,13,8,NA,5,NA,NA,NA,NA,NA,
22,INFOSYS,3.25,"08 &
09.01.2010",24,15,5,8,3,8,1,5,6,
23,MEDHA SERVO DRIVE,2.4,12.01.2010,2,NA,0,NA,NA,NA,NA,NA,NA,
24,INTERGRAPH,3,28.01.2010,0,0,1,0,0,NA,1,0,NA,
25,L & T (ECC),2.7,02.02.2010,NA,NA,1,NA,1,NA,17,NA,NA,
26,"NAGARJUNA
CONSTRUCTION COMPANY LTD.",1.8,03.02.2010,NA,NA,NA,NA,NA,NA,26,NA,NA,
27,ROBERT BOSCHE,3.14,03.02.2010,1,NA,2,NA,NA,NA,NA,NA,NA,
28,JK TYRE & INDUSTRIES LTD.,4,"04.02.2010
(Off Campus)",NA,NA,NA,NA,2,NA,NA,NA,NA,
29,"CYBAGE EVOLVING
SOLUTIONS",2.4,05.02.2010,4,4,2,3,NA,NA,NA,NA,NA,
30,ZENSAR,2.1,10.02.2010,3,2,0,4,NA,NA,NA,NA,NA,
